state_id,state,year,complaints_total,complaints_per100k,log_complaints_per100k,log_complaints_total,complaints_accepted,complaints_accepted_per100k,log_complaints_accepted_per100k,cso_broad_lag,log_cso_broad_lag,cso_broad_t,log_cso_broad_t,staff_total,log_staff,staff_visitadurias,log_staff_visitadurias,budget_nominal,budget_real2020,log_budget_real,population,homicides,homicide_rate,log_homicide_rate,gdp_percapita_2018,log_gdp_percapita,political_alignment,governor,governor_party,red_tdt_n,red_tdt_dummy,log_red_tdt,n_eventos_lag,log_eventos_lag
06,Colima,2023,790.0,104.30351001115652,4.647305014471699,6.672032945461067,620.0,81.8584508948317,4.404991547049769,3,1.0986122886681098,3,1.0986122886681098,26.0,3.258096538021482,6.0,1.791759469228055,13163115.0,11283895.108611792,16.238887055475193,757405,792,104.5675695301721,4.649833460825057,202473.94458710996,12.218366488544572,1,Indira Vizcaíno Silva,MORENA,1,1,0.0,30.0,3.4011973816621555
06,Colima,2024,668.0,87.61954230594174,4.473004058746701,6.504288173536645,441.0,57.84463795946153,4.057760760656901,3,1.0986122886681098,0,,27.0,3.295836866004329,2.0,0.6931471805599453,14445199.0,11804044.126659855,16.28395275331821,762387,749,98.24406764543468,4.587454868727275,206115.6459908157,12.236192678557185,1,Indira Vizcaíno Silva,MORENA,1,1,0.0,41.0,3.713572066704308
07,Chiapas,2019,1215.0,21.51135790845156,3.0685810704573027,7.102499355774649,1215.0,21.51135790845156,3.068581070457302,21,3.044522437723423,21,3.044522437723423,136.0,4.912654885736052,50.0,3.912023005428146,64145829.87,67089727.09492532,18.021541491784863,5648179,525,9.295031195009932,2.229479977274277,61774.66967672235,11.031248683642552,1,Rutilio Escandón Cadenas,MORENA,10,1,2.302585092994046,290.0,5.66988092298052
07,Chiapas,2020,853.0,14.924955295122182,2.703034663972484,6.748759547491679,853.0,14.924955295122182,2.703034663972484,21,3.044522437723423,18,2.8903717578961645,137.0,4.919980925828125,53.0,3.970291913552122,56610520.23,56610520.23,17.85170539568975,5715260,419,7.331250021871272,1.9921460364029424,59007.01542886938,10.985411621393206,1,Rutilio Escandón Cadenas,MORENA,10,1,2.302585092994046,878.0,6.777646593635117
07,Chiapas,2021,830.0,14.346078931434905,2.663476659671186,6.721425700790643,830.0,14.346078931434905,2.663476659671186,18,2.8903717578961645,20,2.995732273553991,135.0,4.90527477843843,52.0,3.951243718581428,62952336.88,60237435.655027896,17.913804571742197,5785553,429,7.415021519982619,2.003507877808559,61124.40936933773,11.020666564061168,1,Rutilio Escandón Cadenas,MORENA,10,1,2.302585092994046,397.0,5.983936280687191
07,Chiapas,2022,702.0,11.973633445121358,2.4827070194674703,6.553933404025811,702.0,11.973633445121358,2.4827070194674703,20,2.995732273553991,33,3.49650756146648,110.0,4.700480365792417,40.0,3.688879454113936,58721918.0,52684297.50583169,17.779828009071533,5862882,377,6.430284627935544,1.86101880288967,63879.50550599516,11.064753861315818,1,Rutilio Escandón Cadenas,MORENA,10,1,2.302585092994046,473.0,6.159095388491933
07,Chiapas,2023,499.0,8.391699650474777,2.127243080471963,6.212606095751519,499.0,8.391699650474777,2.127243080471963,33,3.49650756146648,53,3.970291913552122,110.0,4.700480365792417,42.0,3.737669618283368,54064326.0,46345882.69583555,17.651643015304145,5946352,500,8.408516683842464,2.129245083142636,63841.86455830398,11.064164438437532,1,Rutilio Escandón Cadenas,MORENA,10,1,2.302585092994046,593.0,6.385194398997726
07,Chiapas,2024,354.0,5.872444532770729,1.7702709922565547,5.869296913133774,354.0,5.872444532770729,1.7702709922565547,53,3.970291913552122,0,,122.0,4.804021044733257,41.0,3.713572066704308,56684058.0,46319965.67926456,17.65108365028022,6028154,662,10.981803052808536,2.3962396350597883,64662.391173151846,11.076935031312509,1,Rutilio Escandón Cadenas,MORENA,10,1,2.302585092994046,685.0,6.529418838262226
08,Chihuahua,2019,1558.0,41.26829823894556,3.720094608093511,7.351158226430694,1348.0,35.70581901546767,3.5753136731350703,24,3.1780538303479458,26,3.258096538021482,109.0,4.691347882229144,41.0,3.713572066704308,57941380.0,60600531.314061,17.91981421855987,3775295,2181,57.77031993526334,4.056475147864447,229614.18882497927,12.344155739536331,0,Javier Corral Jurado,PAN,7,1,1.9459101490553128,254.0,5.537334267018537
08,Chihuahua,2020,1005.0,26.35977765461977,3.2718392746450053,6.912742820493176,863.0,22.635311558146128,3.1195111452352573,26,3.258096538021482,41,3.713572066704308,102.0,4.624972813284271,45.0,3.80666248977032,76959318.16,76959318.16,18.15878750461512,3812627,2296,60.22094477115123,4.098020211591287,212113.8236182034,12.264878313432291,0,Javier Corral Jurado,PAN,7,1,1.9459101490553128,1051.0,6.957497370876951
08,Chihuahua,2021,718.0,18.640195166477973,2.925320279507244,6.576469569048224,657.0,17.056557415565496,2.8365347289436302,41,3.713572066704308,41,3.713572066704308,105.0,4.653960350157523,105.0,4.653960350157523,66188798.0,63334320.18907825,17.96393792326807,3851891,2060,53.4802256865524,3.979311972242647,219648.9822790936,12.299786016017793,0,Javier Corral Jurado,PAN,7,1,1.9459101490553128,750.0,6.620073206530356
08,Chihuahua,2022,681.0,17.469269733220393,2.860443322082826,6.523562306149512,633.0,16.237955567002217,2.78735143807749,41,3.713572066704308,53,3.970291913552122,109.0,4.691347882229144,,,75000426.1,67289095.72940965,18.02450875666448,3898274,1668,42.78816727608167,3.7562615988520056,233762.7221688368,12.362061872060616,0,María Eugenia Campos Galván,PAN,7,1,1.9459101490553128,1320.0,7.1853870155804165
08,Chihuahua,2023,844.0,21.378259424671523,3.0623744909016866,6.738152494595957,844.0,21.378259424671523,3.0623744909016866,53,3.970291913552122,79,4.3694478524670215,122.0,4.804021044733257,,,85490847.0,73285825.60392271,18.109877773040484,3947936,1776,44.98553168035146,3.806340919857845,238124.556477106,12.380549162298031,0,María Eugenia Campos Galván,PAN,7,1,1.9459101490553128,1263.0,7.141245122350491
08,Chihuahua,2024,922.0,23.07016332274408,3.138540151603346,6.826545223556594,922.0,23.07016332274408,3.138540151603346,79,4.3694478524670215,0,,124.0,4.820281565605037,,,102304656.0,83599310.31664965,18.24154582822005,3996504,1705,42.66228683869702,3.753315317764369,232917.29721776836,12.358438721975816,0,María Eugenia Campos Galván,PAN,7,1,1.9459101490553128,1601.0,7.378383712996714
09,Mexico City,2019,39572.0,423.54382194034486,6.048656984394941,10.585877076443111,9603.0,102.78205099800697,4.6326107365898,354,5.869296913133774,359,5.883322388488279,685.0,6.529418838262226,199.0,5.293304824724492,444746771.0,465157899.63602895,19.95788747502083,9343071,1396,14.941554013664245,2.7041461912741456,393865.9297355227,12.883765850512663,1,Claudia Sheinbaum Pardo,MORENA,20,1,2.995732273553991,919.0,6.823286122355687
09,Mexico City,2020,30207.0,323.67210270500385,5.779730974657267,10.315828964583725,7316.0,78.39193244578436,4.361721019584299,359,5.883322388488279,370,5.91350300563827,697.0,6.546785410760524,169.0,5.1298987149230735,432228024.88,432228024.88,19.884463842322667,9332593,1128,12.08667301788474,2.4921034421315467,352941.0645037237,12.774056365896612,1,Claudia Sheinbaum Pardo,MORENA,20,1,2.995732273553991,777.0,6.655440350367647
09,Mexico City,2021,8307.0,89.58605032930718,4.495199619571223,9.02485381183907,8307.0,89.58605032930718,4.495199619571223,370,5.91350300563827,379,5.937536205082426,738.0,6.6039438246004725,173.0,5.153291594497779,457397212.92,437671364.5210369,19.896978877405108,9272649,921,9.932436782628136,2.2958058439874582,377028.8092431839,12.840076880601185,1,Claudia Sheinbaum Pardo,MORENA,20,1,2.995732273553991,499.0,6.212606095751519
09,Mexico City,2022,8894.0,96.27996056137258,4.567260203290489,9.09313217107064,8894.0,96.27996056137258,4.567260203290489,379,5.937536205082426,384,5.950642552587727,724.0,6.584791392385716,163.0,5.093750200806762,457975968.0,410888182.30755424,19.83383167293276,9237644,709,7.675117161908382,2.037983558751975,395163.270959565,12.887054302681507,1,Claudia Sheinbaum Pardo,MORENA,20,1,2.995732273553991,1623.0,7.392031567514591
09,Mexico City,2023,8058.0,87.38144865168734,4.470283002141727,8.994420665751292,8058.0,87.38144865168734,4.470283002141727,384,5.950642552587727,426,6.054439346269371,741.0,6.608000625296087,173.0,5.153291594497779,481010630.0,412339594.0130643,19.83735782511356,9221637,780,8.458368074995795,2.135156256074072,412683.1757745398,12.93043544867404,1,Claudia Sheinbaum Pardo,MORENA,20,1,2.995732273553991,3537.0,8.17103418920548
09,Mexico City,2024,7620.0,82.78992935476657,4.416306427843992,8.938531648680692,7620.0,82.78992935476657,4.416306427843992,426,6.054439346269371,0,,703.0,6.555356891810665,162.0,5.087596335232384,504048966.0,411888838.4065373,19.836264061215747,9204018,813,8.833098761866829,2.178505888711111,422202.1939765872,12.953239610916697,1,Martí Batres Guadarrama,MORENA,20,1,2.995732273553991,5693.0,8.646992628951082
10,Durango,2019,1103.0,59.74029491015937,4.090006749336866,7.005789019253503,1103.0,59.74029491015937,4.090006749336866,5,1.6094379124341005,5,1.6094379124341005,69.0,4.23410650459726,26.0,3.258096538021482,26889867.28,28123946.031878848,17.15213194336459,1846325,150,8.124246814618228,2.09485302417962,167590.44913544474,12.029278479340986,0,José Rosas Aispuro Torres,PAN-PRI,0,0,,683.0,6.52649485957079
10,Durango,2020,697.0,37.51032610304307,3.624616257818817,6.546785410760524,697.0,37.51032610304307,3.624616257818817,5,1.6094379124341005,6,1.791759469228055,65.0,4.174387269895637,26.0,3.258096538021482,23170276.0,23170276.0,16.958380808292727,1858155,143,7.695805785846714,2.0406754773182008,154045.69694132087,11.945004570764324,0,José Rosas Aispuro Torres,PAN-PRI,0,0,,502.0,6.218600119691729
10,Durango,2021,790.0,42.24178771523261,3.743409961306224,6.672032945461067,790.0,42.24178771523261,3.743409961306224,6,1.791759469228055,6,1.791759469228055,65.0,4.174387269895637,26.0,3.258096538021482,22627066.0,21651244.414249763,16.89057348947917,1870186,128,6.844239022214902,1.9234072797647728,162150.38557662175,11.99627948963348,0,José Rosas Aispuro Torres,PAN-PRI,0,0,,167.0,5.117993812416755
10,Durango,2022,821.0,43.57088042897946,3.774389047154461,6.710523109452428,821.0,43.57088042897946,3.774389047154461,6,1.791759469228055,6,1.791759469228055,48.0,3.871201010907891,32.0,3.4657359027997265,26109044.0,23424586.398708057,16.969296729527677,1884286,115,6.103107490051935,1.8087980660652831,159465.23669973662,11.979581225726315,0,José Rosas Aispuro Torres,PAN-PRI,0,0,,349.0,5.855071922202427
10,Durango,2023,1015.0,53.43632417053927,3.9784907426287255,6.922643891475888,1015.0,53.43632417053927,3.9784907426287255,6,1.791759469228055,9,2.19722457733622,90.0,4.499809670330265,34.0,3.5263605246161616,35906993.0,30780764.48300101,17.242400523071154,1899457,78,4.106436734287747,1.4125556778424295,162782.9090103119,12.000172745530492,0,Esteban Villegas Villarreal,PRI,0,0,,520.0,6.253828811575473
10,Durango,2024,905.0,47.28876032384179,3.856272641971768,6.807934943699926,905.0,47.28876032384179,3.856272641971768,9,2.19722457733622,0,,91.0,4.51085950651685,35.0,3.555348061489413,38798237.0,31704381.61389173,17.271965450554244,1913774,64,3.34417752566395,1.2072207816315137,169195.71328693983,12.038811390649748,0,Esteban Villegas Villarreal,PRI,0,0,,627.0,6.440946540632921
11,Guanajuato,2019,1122.0,18.05441620353281,2.893390319868954,7.022868086082641,642.0,10.330601784909147,2.335110537476273,16,2.772588722239781,16,2.772588722239781,125.0,4.8283137373023015,43.0,3.7612001156935615,107063347.49,111976893.58030371,18.53380310065637,6214546,2775,44.65330210766804,3.7989282599668472,176853.3767390249,12.08307628825414,0,Diego Sinhue Rodríguez Vallejo,PAN,3,1,1.0986122886681098,2382.0,7.775695749915245
11,Guanajuato,2020,687.0,10.964289293810396,2.394643563883246,6.532334292222349,459.0,7.325485860056727,1.9913594817214424,16,2.772588722239781,17,2.833213344056216,123.0,4.812184355372417,44.0,3.784189633918261,103673830.3,103673830.3,18.45676028166028,6265796,3359,53.60851199113409,3.9817078612731898,162700.2182962867,11.999664634916655,0,Diego Sinhue Rodríguez Vallejo,PAN,3,1,1.0986122886681098,2067.0,7.633853559681768
